,smiles,freesolv,processed_smiles
596,Cc1ccccc1[N+](=O)[O-],-3.58,C c 1 c c c c c 1 [ N+ ] ( = O ) [ O- ]
597,CCCCCCCI,0.27,C C C C C C C I
598,c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,c 1 c c 2 c c c 3 c c c c 4 c 3 c 2 c ( c 1 ) c c 4
599,CCCCCCl,-0.1,C C C C C Cl
600,CC(C)COC(=O)C,-2.36,C C ( C ) C O C ( = O ) C
601,CCC(C)(C)C,2.51,C C C ( C ) ( C ) C
602,c1cc(ccc1N)N(=O)=O,-9.82,c 1 c c ( c c c 1 N ) N ( = O ) = O
603,COC(=O)CC#N,-6.72,C O C ( = O ) C C # N
604,COc1ccc(cc1)N,-7.48,C O c 1 c c c ( c c 1 ) N
605,CC(C)Cc1ccccc1,0.16,C C ( C ) C c 1 c c c c c 1
606,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16,c 1 c c c ( c c 1 ) c 2 c ( c c ( c c 2 Cl ) Cl ) Cl
607,CN,-4.55,C N
608,c1ccc(c(c1)O)Cl,-4.55,c 1 c c c ( c ( c 1 ) O ) Cl
609,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53,c 1 c c c 2 c ( c 1 ) C ( = O ) c 3 c c c ( c c 3 C 2 = O ) N
610,C(=C\Cl)\Cl,-1.17,C ( = C \ Cl ) \ Cl
611,CCCCC(=O)C,-3.28,C C C C C ( = O ) C
612,C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73,C ( C O [ N+ ] ( = O ) [ O- ] ) O [ N+ ] ( = O ) [ O- ]
613,c1ccc(c(c1)O)F,-5.29,c 1 c c c ( c ( c 1 ) O ) F
614,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41,C c 1 c ( n c ( n c 1 O C ( = O ) N ( C ) C ) N ( C ) C ) C
615,C=Cc1ccccc1,-1.24,C = C c 1 c c c c c 1
616,CCOP(=O)(OCC)OCC,-7.5,C C O P ( = O ) ( O C C ) O C C
617,C(C(F)(F)F)O,-4.31,C ( C ( F ) ( F ) F ) O
618,CCCCOC[C@H](C)O,-5.73,C C C C O C [ C @ H ] ( C ) O
619,CCCO,-4.85,C C C O
620,Cc1ccccc1C,-0.9,C c 1 c c c c c 1 C
621,CC(C)(C)C,2.51,C C ( C ) ( C ) C
622,CCCC#C,0.01,C C C C # C
623,c1ccc2c(c1)C(=O)NC2=O,-9.61,c 1 c c c 2 c ( c 1 ) C ( = O ) N C 2 = O
624,CCCCI,-0.25,C C C C I
625,Cc1ccc(cc1)O,-6.13,C c 1 c c c ( c c 1 ) O
626,CC(C)I,-0.46,C C ( C ) I
627,COc1ccccc1O,-5.94,C O c 1 c c c c c 1 O
628,C1CC=CC1,0.56,C 1 C C = C C 1
629,C[C@H](C(F)(F)F)O,-4.2,C [ C @ H ] ( C ( F ) ( F ) F ) O
630,CCCN,-4.39,C C C N
631,c1ccc(c(c1)[N+](=O)[O-])O,-4.58,c 1 c c c ( c ( c 1 ) [ N+ ] ( = O ) [ O- ] ) O
632,Cc1cccc2c1cccc2,-2.44,C c 1 c c c c 2 c 1 c c c c 2
633,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33,c 1 ( c ( c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl ) Cl ) Cl
634,CCCCC/C=C/C=O,-3.43,C C C C C / C = C / C = O
635,CCCCCCC#C,0.71,C C C C C C C # C
636,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48,C C O P ( = S ) ( O C C ) O c 1 c c ( n c ( n 1 ) C ( C ) C ) C
637,CCCCCCCC(=O)OC,-2.04,C C C C C C C C ( = O ) O C
638,C1CCNC1,-5.48,C 1 C C N C 1
639,c1cc(ccc1C=O)O,-8.83,c 1 c c ( c c c 1 C = O ) O
640,CCCCCCCCl,0.29,C C C C C C C Cl
641,C1COCCO1,-5.06,C 1 C O C C O 1
